case,ax,rate,de,de_lo,cap
S7,My,0.3,0.5139066532587613,0.2436283321703995,0.1331128855125712
S7,My,0.45,0.5305104249263424,0.2184743920266016,0.13822119808817745
S7,My,0.65,0.5830974313328624,0.23269856208155526,0.1447540863158656
S7,My,0.9,0.5134949909047262,0.22148638553903707,0.15211747309653278
S7,My,1.2,0.7269319709676091,0.28596256268251075,0.15994679553604726
S7,My,0.1,0.6742773508256197,0.333567131540529,0.1307021846846266
S7,My,0.2,0.5285041314846556,0.24813731089672258,0.1301838743728561
S7,My,0.3,0.8329615497674223,0.3554700572162314,0.1331128855125712
S7,My,0.45,0.8567884946829674,0.35566681331306876,0.13822119808817745
S7,My,0.65,0.9362193642167422,0.3732448818244415,0.1447540863158656
S7,My,0.9,0.6674260526293124,0.29495999752387175,0.15211747309653278
S7,My,1.2,0.945105491872407,0.41165185845100677,0.15994679553604726
S8,Mx,0.1,0.548261566904363,0.24284874351675592,0.1122019941377278
S8,Mx,0.2,0.5259285559706744,0.2353636552943718,0.11240828178068846
S8,Mx,0.3,0.49163211261028145,0.19854420598182349,0.11513916079366573
S8,Mx,0.45,0.5149738080688734,0.22144518644387823,0.11966981110189592
S8,Mx,0.65,0.5795669644411071,0.2553788728309928,0.12537052745717076
S8,Mx,0.9,0.696098209852971,0.2822437694055796,0.13175421799334258
S8,Mx,1.2,0.7615706804178219,0.24387971622630766,0.1385218264538649
S8,Mx,0.1,0.3277365884711706,0.1597978666453544,0.1122019941377278
S8,Mx,0.2,0.7102161126392029,0.30726601534424414,0.11240828178068846
S8,Mx,0.3,0.7835948511739059,0.3461742556291593,0.11513916079366573
S8,Mx,0.45,0.9069633702069001,0.35402478757471145,0.11966981110189592
S8,Mx,0.65,1.0901262916623362,0.4618137824735032,0.12537052745717076
S8,Mx,0.9,1.0155258774564497,0.4369395994733535,0.13175421799334258
S8,Mx,1.2,0.34557575671634105,0.22057478499123306,0.1385218264538649
S8,My,0.1,0.6773637316976033,0.3178708637439132,0.1352784040028
S8,My,0.2,0.8310684686568054,0.35058720799466897,0.134517528660162
S8,My,0.3,0.8426080200098875,0.3677944640558131,0.13746090382675344
S8,My,0.45,0.7995730498872681,0.3680906944964754,0.1426761796938224
S8,My,0.65,0.7015429949491191,0.31115037686748365,0.14937981232084802
S8,My,0.9,1.0521966978532362,0.4611174634937018,0.15695168102102888
S8,My,1.2,0.9555938977311244,0.4263904105982545,0.16501106600046883
S8,My,0.1,0.4680339082990172,0.21601279243248026,0.1352784040028
S8,My,0.2,0.4135441639111444,0.1945745204250107,0.134517528660162
S8,My,0.3,0.29905213685623366,0.17621650575212583,0.13746090382675344
S8,My,0.45,0.46432612706645143,0.22820536956980084,0.1426761796938224
S8,My,0.65,0.46483817412612405,0.21717853506086982,0.14937981232084802
