case,axis,run,rate,gap_onset,gap_rel,tau_ms,M_crit
case_05,My,neg_My_01,0.1,0.011963557273174663,0.02045219831832219,119.63557273174662,-0.5849521448487549
case_05,My,neg_My_02,0.2,0.022834414850786855,0.03312344894915988,114.17207425393428,-0.6893731050119408
case_05,My,neg_My_03,0.3,0.02916778724891078,0.04053909942077555,97.22595749636928,-0.7194976619032346
case_05,My,neg_My_045,0.45,-0.7913738866410774,-1.0,-1758.608636980172,-0.7913738866410774
case_05,My,neg_My_065,0.65,0.06717216340226806,0.10403662893133814,103.34178984964316,-0.6456587847209101
case_05,My,neg_My_090,0.9,0.08771564355900163,0.13781044970261605,97.46182617666848,-0.6364948648544794
case_05,My,neg_My_120,1.2,0.12312112772110217,0.1538316066165893,102.60093976758515,-0.8003630101060436
case_05,My,pos_My_01,0.1,0.011892673800408815,0.009214838863925023,118.92673800408815,1.2906002998020065
case_05,My,pos_My_02,0.2,0.021956194291410158,0.01623915847036756,109.78097145705078,1.3520524682036186
case_05,My,pos_My_03,0.3,0.028670437474699106,0.020922866499986897,95.56812491566369,1.370292042666193
case_05,My,pos_My_045,0.45,0.045923530770543675,0.033454858579325494,102.05229060120817,1.3727013869047888
case_05,My,pos_My_065,0.65,0.06390078192545223,0.050214940646113565,98.30889526992651,1.2725452047387393
case_05,My,pos_My_090,0.9,0.08835326919707898,0.06791741790740344,98.17029910786552,1.3008926416716424
case_05,My,pos_My_120,1.2,0.12226143286085867,0.08666941616464689,101.8845273840489,1.4106640874169176
