case,ax,rate,de,res,cap
S11,My,0.65,0.12208914264012623,0.11355756161732052,0.45690774376962345
S11,My,0.9,0.06445337595463436,0.13110343398698168,0.3992719770841316
S11,My,1.2,0.029810490142157177,0.12392022962699313,0.36462909127165444
S11,My,0.1,0.05981877594033357,0.47531816390561465,0.3946373770698308
S11,My,0.2,0.08862585635344984,0.2687328489547428,0.42344445748294707
S11,My,0.3,0.11645926410202369,0.13673332898688842,0.4512778652315209
S11,My,0.45,0.14587219054722134,0.23287495221471197,0.4806907916767186
S11,My,0.65,0.06129271493247722,0.19813112618108697,0.39611131606197447
S13,Mx,0.1,0.03671034662828241,0.18810277371349748,0.37152894775777967
S13,Mx,0.2,0.07293445867391488,0.28888782422950104,0.40775305980341214
S13,Mx,0.3,0.09430734746931321,0.2623621657083287,0.4291259485988105
S13,Mx,0.45,0.11808825003909705,0.1259572047387649,0.4529068511685943
S13,Mx,0.65,0.13287448860569082,0.12240778708450206,0.4676930897351881
S13,Mx,0.9,0.06332409707341655,0.11920069823766992,0.3981426982029138
S13,Mx,1.2,0.042688239622105564,0.10981769129223869,0.3775068407516028
S13,Mx,0.1,0.046557088296192456,0.6722496388948281,0.38137568942568967
S13,Mx,0.2,0.08106723328777021,0.3037232404816378,0.41588583441726745
