case,ax,rate,cap,res
S8,My,0.45,0.18647474793097032,0.23632278441073068
S8,My,0.65,0.20519007696223313,0.248401160866312
S8,My,0.9,0.16795571388812056,0.21695022741858874
S8,My,1.2,0.18031229783792627,0.285754726106745
S9,Mx,1.2,0.20359748931219104,1.1814193929584667
S9,Mx,0.1,0.2257469073652936,0.31738556938383644
S9,Mx,0.2,0.20060538105504988,0.367149351717923
S9,Mx,0.3,0.20794866006317353,0.32012571458205324
S9,Mx,0.45,0.188032283880416,0.3655761401273201
S9,Mx,0.65,0.19554079797931917,0.3521944681472196
S9,Mx,0.9,0.18435385801636087,0.33679235164551036
S9,Mx,1.2,0.15254341676104893,0.17108374292517547
S9,My,0.1,0.22669431285500793,0.3315185636562324
S9,My,0.2,0.21230791809741165,0.2786890212353739
S9,My,0.3,0.25512894176837764,0.3797793941728697
S9,My,0.45,0.19822149059096444,0.4552999644785146
S9,My,0.65,0.2597217517142152,0.5137389921527632
S9,My,0.9,0.23764831805686476,0.4925155987446897
S9,My,1.2,0.27855764780502257,0.22310809996420183
S9,My,0.1,0.202326837962538,0.19505578884815183
S9,My,0.2,0.2071131251266176,0.2086811837271754
S9,My,0.3,0.21013781690122105,0.2434229646267403
S9,My,0.45,0.21115503959577592,0.3235047317986373
S9,My,0.65,0.24389599095419479,0.40011082003345133
S9,My,0.9,0.25804130626079885,0.3188550364434764
S9,My,1.2,0.161519987762261,0.3895351090068385
S11,Mx,0.1,0.20871353883342347,0.25113625663756634
S11,Mx,0.2,0.1737483182980004,0.2779274099001412
S11,Mx,0.3,0.19109683051901422,0.24997309952327967
S11,Mx,0.45,0.1794017787055515,0.27780880386555906
S11,Mx,0.65,0.18057124625363638,0.29463223840732045
S11,Mx,0.9,0.20790505993059835,0.3240451169978933
S11,Mx,1.2,0.17125064534996035,0.339981042230121
S11,Mx,0.1,0.1900716671109036,0.27639880485130636
S11,Mx,0.2,0.18943617009602778,0.24145893901900434
S11,Mx,0.3,0.18819871116352538,0.33938418212075927
S11,Mx,0.45,0.19771762366327753,0.36184281234359644
S11,Mx,0.65,0.1820346974972629,0.36992831951624394
S11,Mx,0.9,0.19091974844491458,0.39504808827442406
S11,Mx,1.2,0.19417790028131834,0.40749316623239296
S11,My,0.1,0.18063221842353083,0.29077932718624444
S11,My,0.2,0.22885997715834977,0.3692398382474464
S11,My,0.3,0.20839590395785215,0.39836317973719537
S11,My,0.45,0.19710196213186826,0.35506313918238536
S11,My,0.65,0.17012113337852056,0.27582565824118926
S11,My,0.9,0.1380844620012493,0.15651378863203222
S11,My,1.2,0.1512530952974618,0.1548757047371182
S11,My,0.1,0.19559688410755546,0.16950395203984428
S11,My,0.2,0.16948733735874094,0.18280211855652698
S11,My,0.3,0.17999605561732834,0.18489957549701155
S11,My,0.45,0.19388747056493633,0.1557516965377343
S11,My,0.65,0.2224951045868815,0.3597801637384729
S11,My,0.9,0.1825874577984382,0.285534878742108
S13,Mx,0.1,0.16677914402232316,0.1268214041887789
S13,Mx,0.2,0.1603607682295516,0.21144498355978653
S13,Mx,0.3,0.18455887792731682,0.23621453065610507
S13,Mx,0.45,0.17874351325484208,0.25104168822583084
S13,Mx,0.65,0.17603253775848512,0.2600612476787853
S13,Mx,0.9,0.1991684158424235,0.3580545243097436
S13,Mx,1.2,0.17579030244650903,0.6590819248070366
S13,Mx,0.1,0.1993807724838213,0.30866249740146645
S13,Mx,0.2,0.17021169175659706,0.28955653344329113
S13,Mx,0.3,0.180175361494877,0.30767250940852187
S13,Mx,0.45,0.22428894779075975,0.3427010986198233
S13,Mx,0.65,0.20780920480924822,0.37923198340651865
S13,Mx,0.9,0.22015537517916983,0.2690875227541701
S13,Mx,1.2,0.15776797771646778,0.20559472665732828
S13,My,0.1,0.2041397055210761,0.27343303742611597
S13,My,0.2,0.18308224565044284,0.2978655792070872
S13,My,0.3,0.19183153579946433,0.3247141006193097
S13,My,0.45,0.1981253651244646,0.36707826615778644
S13,My,0.65,0.19986386945861892,0.3026023270714172
S13,My,0.9,0.18970323395480035,0.24993720117183502
S13,My,1.2,0.16457442261306457,0.26785124499334045
S13,My,0.1,0.19491325950951863,0.2259536523134572
S13,My,0.2,0.18813056142063495,0.1992670626519861
S13,My,0.3,0.1915769535152052,0.22019006075126482
S13,My,0.45,0.19152475312971495,0.2260040570380012
S13,My,0.65,0.2065612319300574,0.24868713007046842
S13,My,0.9,0.18609218566554622,0.25604837433475064
S13,My,1.2,0.1772831460673512,0.5282223532180216
