bag,dir,lp_mm,dphi_deg,int_dyn,int_mod,slope_dyn,slope_mod,a_rate_mm_per_deg,case,axis,z_com,j_p
pos_Mx_090,pos,138.5129835886136,5.596823004243053,209.38473565046348,162.3624840162074,-39.98728954516264,-0.46711480606265576,1.2511056261230453,case_02,Mx,0.256,0.32522292
pos_Mx_120,pos,138.96692880390188,5.873073393938359,127.4438429477213,165.04495933211152,-5.7531343099792736,-0.1536338842407433,0.17726557466834228,case_02,Mx,0.256,0.32522292
neg_My_01,neg,106.49405127315795,3.154441347649223,133.66494296209967,121.02497445652708,-50.312682505817186,-1.9029702415401362,1.5325251918209029,case_02,My,0.256,0.30055192
neg_My_02,neg,106.67838608949624,3.7820934087380755,181.63392734770338,121.38660527700908,-88.02311152335011,-1.2155223512238615,2.7481017966242525,case_02,My,0.256,0.30055192
neg_My_03,neg,105.12720207018675,3.196214045319335,147.6429397138222,122.68821506609977,-59.87005462687629,-0.7458667695808152,1.8717175355764324,case_02,My,0.256,0.30055192
neg_My_045,neg,105.68470823721835,4.224225127168763,88.5995538446005,122.61381776550226,-39.1143172975569,-0.16662694670463166,1.2329822639736443,case_02,My,0.256,0.30055192
neg_My_065,neg,106.29068115017468,3.637218941908005,243.4383731350521,120.40147056295119,-50.33393625845063,0.45103766970237213,1.6077197791628837,case_02,My,0.256,0.30055192
neg_My_090,neg,104.20375812699879,3.358794462032653,313.4495360166879,120.68251488295705,-128.79587913384077,0.4311036290139122,4.090989127675988,case_02,My,0.256,0.30055192
neg_My_120,neg,103.36986868339848,3.3085434135216785,337.76696837547206,120.31277125591437,-137.69460335005232,1.3889480520095208,4.403022375509267,case_02,My,0.256,0.30055192
pos_My_01,pos,118.23978475689421,5.8007142975204795,234.28241113882333,157.48976399137516,-9.482370707932342,-2.6931539065781003,0.21492889121109277,case_02,My,0.256,0.30055192
pos_My_02,pos,119.32166949753527,6.9357562067774285,277.40904631481595,159.59748975635057,-49.21399790013821,-2.3662681278837496,1.4830769012559901,case_02,My,0.256,0.30055192
